9999999	9999999	62	50	9999999	9999999	9999999	9999999	9999999
9999999	9999999	32	21	39	9999999	9999999	9999999	9999999
9999999	9999999	9999999	9999999	9999999	28	17	9999999	9999999
9999999	9999999	9999999	9999999	9999999	15	9999999	9999999	9999999
9999999	9999999	9999999	9999999	9999999	33	61	9999999	9999999
9999999	9999999	9999999	9999999	9999999	9999999	9999999	145	43
9999999	9999999	9999999	9999999	9999999	92	9999999	33	101
9999999	9999999	9999999	9999999	9999999	9999999	9999999	9999999	9999999
9999999	9999999	9999999	9999999	9999999	9999999	9999999	9999999	9999999

